Country,Date,Case_Type,Cases,Daily_Cases
Afghanistan,2020-04-01,Deaths,4,0
Albania,2020-04-01,Deaths,15,0
Algeria,2020-04-01,Deaths,58,14
Andorra,2020-04-01,Deaths,14,2
Angola,2020-04-01,Deaths,2,0
Antigua and Barbuda,2020-04-01,Deaths,0,0
Argentina,2020-04-01,Deaths,28,1
Armenia,2020-04-01,Deaths,4,1
Australia,2020-04-01,Deaths,20,2
Austria,2020-04-01,Deaths,146,18
Azerbaijan,2020-04-01,Deaths,5,0
Bahamas,2020-04-01,Deaths,1,1
Bahrain,2020-04-01,Deaths,4,0
Bangladesh,2020-04-01,Deaths,6,1
Barbados,2020-04-01,Deaths,0,0
Belarus,2020-04-01,Deaths,2,1
Belgium,2020-04-01,Deaths,828,123
Belize,2020-04-01,Deaths,0,0
Benin,2020-04-01,Deaths,0,0
Bhutan,2020-04-01,Deaths,0,0
Bolivia,2020-04-01,Deaths,7,1
Bosnia and Herzegovina,2020-04-01,Deaths,13,0
Botswana,2020-04-01,Deaths,1,0
Brazil,2020-04-01,Deaths,240,39
Brunei,2020-04-01,Deaths,1,0
Bulgaria,2020-04-01,Deaths,10,2
Burkina Faso,2020-04-01,Deaths,16,2
Burma,2020-04-01,Deaths,1,0
Burundi,2020-04-01,Deaths,0,0
Cabo Verde,2020-04-01,Deaths,1,0
Cambodia,2020-04-01,Deaths,0,0
Cameroon,2020-04-01,Deaths,6,0
Canada,2020-04-01,Deaths,109,8
Central African Republic,2020-04-01,Deaths,0,0
Chad,2020-04-01,Deaths,0,0
Chile,2020-04-01,Deaths,16,4
China,2020-04-01,Deaths,3316,7
Colombia,2020-04-01,Deaths,17,1
Costa Rica,2020-04-01,Deaths,2,0
Cote d'Ivoire,2020-04-01,Deaths,1,0
Croatia,2020-04-01,Deaths,6,0
Cuba,2020-04-01,Deaths,6,0
Cyprus,2020-04-01,Deaths,9,1
Czechia,2020-04-01,Deaths,39,8
Democratic Republic of the Congo,2020-04-01,Deaths,9,1
Denmark,2020-04-01,Deaths,104,14
Diamond Princess,2020-04-01,Deaths,11,1
Djibouti,2020-04-01,Deaths,0,0
Dominica,2020-04-01,Deaths,0,0
Dominican Republic,2020-04-01,Deaths,57,6
Ecuador,2020-04-01,Deaths,93,18
Egypt,2020-04-01,Deaths,52,6
El Salvador,2020-04-01,Deaths,1,0
Equatorial Guinea,2020-04-01,Deaths,0,0
Eritrea,2020-04-01,Deaths,0,0
Estonia,2020-04-01,Deaths,5,1
Eswatini,2020-04-01,Deaths,0,0
Ethiopia,2020-04-01,Deaths,0,0
Fiji,2020-04-01,Deaths,0,0
Finland,2020-04-01,Deaths,17,0
France,2020-04-01,Deaths,4043,511
Gabon,2020-04-01,Deaths,1,0
Gambia,2020-04-01,Deaths,1,0
Georgia,2020-04-01,Deaths,0,0
Germany,2020-04-01,Deaths,920,145
Ghana,2020-04-01,Deaths,5,0
Greece,2020-04-01,Deaths,50,1
Grenada,2020-04-01,Deaths,0,0
Guatemala,2020-04-01,Deaths,1,0
Guinea,2020-04-01,Deaths,0,0
Guinea-Bissau,2020-04-01,Deaths,0,0
Guyana,2020-04-01,Deaths,2,0
Haiti,2020-04-01,Deaths,0,0
Holy See,2020-04-01,Deaths,0,0
Honduras,2020-04-01,Deaths,10,3
Hungary,2020-04-01,Deaths,20,4
Iceland,2020-04-01,Deaths,2,0
India,2020-04-01,Deaths,58,23
Indonesia,2020-04-01,Deaths,157,21
Iran,2020-04-01,Deaths,3036,138
Iraq,2020-04-01,Deaths,52,2
Ireland,2020-04-01,Deaths,85,14
Israel,2020-04-01,Deaths,26,6
Italy,2020-04-01,Deaths,13155,727
Jamaica,2020-04-01,Deaths,3,2
Japan,2020-04-01,Deaths,57,1
Jordan,2020-04-01,Deaths,5,0
Kazakhstan,2020-04-01,Deaths,3,1
Kenya,2020-04-01,Deaths,1,0
Kosovo,2020-04-01,Deaths,1,0
Kuwait,2020-04-01,Deaths,0,0
Kyrgyzstan,2020-04-01,Deaths,0,0
Laos,2020-04-01,Deaths,0,0
Latvia,2020-04-01,Deaths,0,0
Lebanon,2020-04-01,Deaths,14,2
Liberia,2020-04-01,Deaths,0,0
Libya,2020-04-01,Deaths,0,0
Liechtenstein,2020-04-01,Deaths,0,0
Lithuania,2020-04-01,Deaths,8,0
Luxembourg,2020-04-01,Deaths,29,6
Madagascar,2020-04-01,Deaths,0,0
Malaysia,2020-04-01,Deaths,45,2
Maldives,2020-04-01,Deaths,0,0
Mali,2020-04-01,Deaths,3,1
Malta,2020-04-01,Deaths,0,0
Mauritania,2020-04-01,Deaths,1,0
Mauritius,2020-04-01,Deaths,6,1
Mexico,2020-04-01,Deaths,29,1
Moldova,2020-04-01,Deaths,5,1
Monaco,2020-04-01,Deaths,1,0
Mongolia,2020-04-01,Deaths,0,0
Montenegro,2020-04-01,Deaths,2,0
Morocco,2020-04-01,Deaths,39,3
Mozambique,2020-04-01,Deaths,0,0
MS Zaandam,2020-04-01,Deaths,2,2
Namibia,2020-04-01,Deaths,0,0
Nepal,2020-04-01,Deaths,0,0
Netherlands,2020-04-01,Deaths,1175,135
New Zealand,2020-04-01,Deaths,1,0
Nicaragua,2020-04-01,Deaths,1,0
Niger,2020-04-01,Deaths,5,2
Nigeria,2020-04-01,Deaths,2,0
North Macedonia,2020-04-01,Deaths,11,2
Norway,2020-04-01,Deaths,44,5
Oman,2020-04-01,Deaths,1,0
Pakistan,2020-04-01,Deaths,27,1
Panama,2020-04-01,Deaths,30,0
Papua New Guinea,2020-04-01,Deaths,0,0
Paraguay,2020-04-01,Deaths,3,0
Peru,2020-04-01,Deaths,38,8
Philippines,2020-04-01,Deaths,96,8
Poland,2020-04-01,Deaths,43,10
Portugal,2020-04-01,Deaths,187,27
Qatar,2020-04-01,Deaths,2,0
Republic of the Congo,2020-04-01,Deaths,0,0
Romania,2020-04-01,Deaths,92,10
Russia,2020-04-01,Deaths,24,7
Rwanda,2020-04-01,Deaths,0,0
Saint Kitts and Nevis,2020-04-01,Deaths,0,0
Saint Lucia,2020-04-01,Deaths,0,0
Saint Vincent and the Grenadines,2020-04-01,Deaths,0,0
San Marino,2020-04-01,Deaths,26,0
Saudi Arabia,2020-04-01,Deaths,16,6
Senegal,2020-04-01,Deaths,1,1
Serbia,2020-04-01,Deaths,28,12
Seychelles,2020-04-01,Deaths,0,0
Sierra Leone,2020-04-01,Deaths,0,0
Singapore,2020-04-01,Deaths,3,0
Slovakia,2020-04-01,Deaths,1,1
Slovenia,2020-04-01,Deaths,15,0
Somalia,2020-04-01,Deaths,0,0
South Africa,2020-04-01,Deaths,5,0
South Korea,2020-04-01,Deaths,165,3
Spain,2020-04-01,Deaths,9387,923
Sri Lanka,2020-04-01,Deaths,3,1
Sudan,2020-04-01,Deaths,2,0
Suriname,2020-04-01,Deaths,0,0
Sweden,2020-04-01,Deaths,239,59
Switzerland,2020-04-01,Deaths,488,55
Syria,2020-04-01,Deaths,2,0
Taiwan,2020-04-01,Deaths,5,0
Tanzania,2020-04-01,Deaths,1,0
Thailand,2020-04-01,Deaths,12,2
Timor-Leste,2020-04-01,Deaths,0,0
Togo,2020-04-01,Deaths,2,1
Trinidad and Tobago,2020-04-01,Deaths,5,2
Tunisia,2020-04-01,Deaths,12,2
Turkey,2020-04-01,Deaths,277,63
Uganda,2020-04-01,Deaths,0,0
Ukraine,2020-04-01,Deaths,20,3
United Arab Emirates,2020-04-01,Deaths,8,2
United Kingdom,2020-04-01,Deaths,2357,564
United States of America,2020-04-01,Deaths,4757,884
Uruguay,2020-04-01,Deaths,2,1
Uzbekistan,2020-04-01,Deaths,2,0
Venezuela,2020-04-01,Deaths,3,0
Vietnam,2020-04-01,Deaths,0,0
West Bank and Gaza,2020-04-01,Deaths,1,0
Zambia,2020-04-01,Deaths,0,0
Zimbabwe,2020-04-01,Deaths,1,0
World,2020-04-01,Deaths,46809,4702
